IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE_EN_CM;HAUTEUR_EN_M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE_OU_CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo_point
2002346.0;Platane;Platanus;x hispanica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-19;;701005;500.0;40.0;Mature;Inconnue;;1846-12-31T20:15:33-03:54;OUI;48.8692243438,2.24601704099
113571.0;Pistachier;Pistacia;terebinthus;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;60050;171.0;10.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.845904263,2.25302676408
107079.0;Lilas de Perse;Melia;azedarach;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 04;;P00411006;136.0;10.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.855701791,2.29637433742
2009236.0;Catalpa;Catalpa;bignonioides;TIR AU PIGEON / 32 ROUTE DE L ETOILE;Arbre;Jardin;BOIS DE BOULOGNE;16-62;;1301001;397.0;14.0;Mature;Inconnue;;1909-12-31T19:52:33-04:17;OUI;48.8740821646,2.25916497406
235972.0;Tilleul;Tilia;tomentosa;PLACE DE LA BATAILLE DE STALINGRAD;Arbre;Alignement;PARIS 19E ARRDT;19/mai;;103001;215.0;23.0;Mature;Inconnue;;1944-12-31T22:00:00-03:00;OUI;48.8830293243,2.37006279721
112897.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;;0417B1018;375.0;20.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8241339366,2.33796569737
305507.0;Erable;Acer;pseudoplatanus;PARC MONCEAU;Arbre;Jardin;PARIS 8E ARRDT;08/jan;;00NO0144;427.0;28.0;Mature;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8787029872,2.30647417371
2013640.0;Amandier;Prunus;dulcis;LES PLATEAUX SAUVAGES / 7 RUE DES PLATRIERES;Arbre;DAC;PARIS 20E ARRDT;;;101001;240.0;9.0;Mature;Inconnue;;1999-12-31T22:00:00-03:00;OUI;48.8678069026,2.38883414897
2002387.0;Sequoia;Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;Arbre;Jardin;BOIS DE BOULOGNE;16/dez;;1001001;335.0;28.0;Mature;Inconnue;;1849-12-31T20:15:33-03:54;OUI;48.8764740798,2.25749975507
2009036.0;Saule;Salix;babylonica;ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS;Arbre;Jardin;BOIS DE BOULOGNE;16-61;;201001;285.0;10.0;Mature;Inconnue;;1900-12-31T19:52:33-04:17;OUI;48.8648104138,2.23370602002
155948.0;Arbre à Gutta-Percha;Eucommia;ulmoides;CIMETIERE DU PERE LACHAISE / DIV 75;Arbre;CIMETIERE;PARIS 20E ARRDT;20/nov;;D00000075015;130.0;14.0;Adulte;Inconnue;;1699-12-31T20:15:33-03:54;OUI;48.8578039088,2.39574078452
